customer_id,region,lat,lon,annual_demand_units,demand_growth_pct,service_level_priority
CUST_NYC,"New York, NY",40.7128,-74.006,34952,0.026,Medium
CUST_LAX,"Los Angeles, CA",34.0522,-118.2437,22024,0.031,High
CUST_CHI,"Chicago, IL",41.8781,-87.6298,36174,0.057,High
CUST_HOU,"Houston, TX",29.7604,-95.3698,33349,0.041,High
CUST_PHX,"Phoenix, AZ",33.4484,-112.074,17070,0.031,High
CUST_PHL,"Philadelphia, PA",39.9526,-75.1652,32390,0.03,Low
CUST_SAT,"San Antonio, TX",29.4241,-98.4936,21223,0.042,Medium
CUST_SD,"San Diego, CA",32.7157,-117.1611,40523,0.063,Medium
CUST_DAL,"Dallas, TX",32.7767,-96.797,36876,0.041,Medium
CUST_SJ,"San Jose, CA",37.3382,-121.8863,19094,0.031,Medium
CUST_AUS,"Austin, TX",30.2672,-97.7431,17349,0.025,High
CUST_JAX,"Jacksonville, FL",30.3322,-81.6557,25763,0.062,Medium
CUST_COL,"Columbus, OH",39.9612,-82.9988,40447,0.022,Low
CUST_CLT,"Charlotte, NC",35.2271,-80.8431,31571,0.026,Low
CUST_SF,"San Francisco, CA",37.7749,-122.4194,16582,0.048,Medium
CUST_IND,"Indianapolis, IN",39.7684,-86.1581,32918,0.03,High
CUST_SEA,"Seattle, WA",47.6062,-122.3321,15501,0.053,Medium
CUST_DEN,"Denver, CO",39.7392,-104.9903,16614,0.063,High
CUST_BOS,"Boston, MA",42.3601,-71.0589,26455,0.034,Medium
CUST_ATL,"Atlanta, GA",33.749,-84.388,19329,0.039,Medium
CUST_DET,"Detroit, MI",42.3314,-83.0458,35960,0.033,High
CUST_MIA,"Miami, FL",25.7617,-80.1918,33960,0.052,Medium
CUST_MSP,"Minneapolis, MN",44.9778,-93.265,19354,0.043,Medium
CUST_STL,"St. Louis, MO",38.627,-90.1994,34971,0.054,Medium
