dc_id,customer_id,distance_miles,unit_transport_cost
DC_01,CUST_NYC,1370.6,5.208
DC_01,CUST_LAX,1237.8,4.704
DC_01,CUST_CHI,804.7,3.058
DC_01,CUST_HOU,224.8,0.854
DC_01,CUST_PHX,884.5,3.361
DC_01,CUST_PHL,1297.4,4.93
DC_01,CUST_SAT,252.4,0.959
DC_01,CUST_SD,1181.6,4.49
DC_01,CUST_DAL,0.0,0.0
DC_01,CUST_SJ,1449.0,5.506
DC_01,CUST_AUS,182.1,0.692
DC_01,CUST_JAX,906.5,3.445
DC_01,CUST_COL,912.5,3.468
DC_01,CUST_CLT,928.3,3.528
DC_01,CUST_SF,1480.9,5.627
DC_01,CUST_IND,763.6,2.902
DC_01,CUST_SEA,1679.8,6.383
DC_01,CUST_DEN,662.6,2.518
DC_01,CUST_BOS,1549.2,5.887
DC_01,CUST_ATL,719.6,2.735
DC_01,CUST_DET,999.3,3.797
DC_01,CUST_MIA,1110.2,4.219
DC_01,CUST_MSP,863.9,3.283
DC_01,CUST_STL,547.8,2.082
DC_02,CUST_NYC,476.2,1.81
DC_02,CUST_LAX,1973.7,7.5
DC_02,CUST_CHI,275.6,1.047
DC_02,CUST_HOU,992.4,3.771
DC_02,CUST_PHX,1664.0,6.323
DC_02,CUST_PHL,414.8,1.576
DC_02,CUST_SAT,1139.3,4.329
DC_02,CUST_SD,1953.2,7.422
DC_02,CUST_DAL,912.5,3.468
DC_02,CUST_SJ,2089.6,7.941
DC_02,CUST_AUS,1066.6,4.053
DC_02,CUST_JAX,669.6,2.544
DC_02,CUST_COL,0.0,0.0
DC_02,CUST_CLT,347.7,1.321
DC_02,CUST_SF,2108.8,8.013
DC_02,CUST_IND,168.1,0.639
DC_02,CUST_SEA,2008.4,7.632
DC_02,CUST_DEN,1163.7,4.422
DC_02,CUST_BOS,642.2,2.44
DC_02,CUST_ATL,436.0,1.657
DC_02,CUST_DET,163.8,0.622
DC_02,CUST_MIA,994.4,3.779
DC_02,CUST_MSP,626.9,2.382
DC_02,CUST_STL,395.8,1.504
DC_03,CUST_NYC,2414.3,9.174
DC_03,CUST_LAX,33.9,0.129
DC_03,CUST_CHI,1711.8,6.505
DC_03,CUST_HOU,1337.3,5.082
DC_03,CUST_PHX,323.1,1.228
DC_03,CUST_PHL,2356.6,8.955
DC_03,CUST_SAT,1168.4,4.44
DC_03,CUST_SD,97.3,0.37
DC_03,CUST_DAL,1203.8,4.575
DC_03,CUST_SJ,328.1,1.247
DC_03,CUST_AUS,1191.5,4.528
DC_03,CUST_JAX,2109.5,8.016
DC_03,CUST_COL,1942.0,7.379
DC_03,CUST_CLT,2081.8,7.911
DC_03,CUST_SF,370.0,1.406
DC_03,CUST_IND,1774.1,6.741
DC_03,CUST_SEA,966.7,3.674
DC_03,CUST_DEN,800.8,3.043
DC_03,CUST_BOS,2560.3,9.729
DC_03,CUST_ATL,1899.1,7.216
DC_03,CUST_DET,1948.8,7.405
DC_03,CUST_MIA,2301.8,8.747
DC_03,CUST_MSP,1494.0,5.677
DC_03,CUST_STL,1553.8,5.904
DC_04,CUST_NYC,154.4,0.587
DC_04,CUST_LAX,2296.1,8.725
DC_04,CUST_CHI,570.0,2.166
DC_04,CUST_HOU,1269.2,4.823
DC_04,CUST_PHX,1987.6,7.553
DC_04,CUST_PHL,93.6,0.356
DC_04,CUST_SAT,1430.4,5.436
DC_04,CUST_SD,2276.6,8.651
DC_04,CUST_DAL,1217.1,4.625
DC_04,CUST_SJ,2405.4,9.14
DC_04,CUST_AUS,1359.5,5.166
DC_04,CUST_JAX,737.3,2.802
DC_04,CUST_COL,323.6,1.23
DC_04,CUST_CLT,410.1,1.558
DC_04,CUST_SF,2423.3,9.208
DC_04,CUST_IND,491.6,1.868
DC_04,CUST_SEA,2282.7,8.674
DC_04,CUST_DEN,1481.6,5.63
DC_04,CUST_BOS,334.9,1.273
DC_04,CUST_ATL,611.5,2.324
DC_04,CUST_DET,349.8,1.329
DC_04,CUST_MIA,1020.6,3.878
DC_04,CUST_MSP,891.9,3.389
DC_04,CUST_STL,718.6,2.731
DC_05,CUST_NYC,1093.5,4.155
DC_05,CUST_LAX,1354.3,5.146
DC_05,CUST_CHI,412.4,1.567
DC_05,CUST_HOU,646.9,2.458
DC_05,CUST_PHX,1047.7,3.981
DC_05,CUST_PHL,1034.3,3.93
DC_05,CUST_SAT,704.7,2.678
DC_05,CUST_SD,1334.3,5.07
DC_05,CUST_DAL,454.1,1.726
DC_05,CUST_SJ,1481.8,5.631
DC_05,CUST_AUS,636.1,2.417
DC_05,CUST_JAX,949.9,3.61
DC_05,CUST_COL,619.5,2.354
DC_05,CUST_CLT,801.2,3.045
DC_05,CUST_SF,1503.6,5.714
DC_05,CUST_IND,451.6,1.716
DC_05,CUST_SEA,1502.8,5.711
DC_05,CUST_DEN,557.2,2.117
DC_05,CUST_BOS,1247.7,4.741
DC_05,CUST_ATL,675.8,2.568
DC_05,CUST_DET,643.3,2.444
DC_05,CUST_MIA,1243.0,4.724
DC_05,CUST_MSP,411.7,1.564
DC_05,CUST_STL,237.8,0.904
DC_06,CUST_NYC,714.2,2.714
DC_06,CUST_LAX,2143.8,8.146
DC_06,CUST_CHI,766.5,2.913
DC_06,CUST_HOU,860.7,3.271
DC_06,CUST_PHX,1796.0,6.825
DC_06,CUST_PHL,636.4,2.418
DC_06,CUST_SAT,1048.3,3.983
DC_06,CUST_SD,2094.5,7.959
DC_06,CUST_DAL,916.4,3.482
DC_06,CUST_SJ,2327.2,8.843
DC_06,CUST_AUS,991.3,3.767
DC_06,CUST_JAX,125.3,0.476
DC_06,CUST_COL,554.8,2.108
DC_06,CUST_CLT,217.9,0.828
DC_06,CUST_SF,2354.7,8.948
DC_06,CUST_IND,601.8,2.287
DC_06,CUST_SEA,2399.9,9.12
DC_06,CUST_DEN,1432.8,5.445
DC_06,CUST_BOS,898.1,3.413
DC_06,CUST_ATL,223.3,0.848
DC_06,CUST_DET,716.3,2.722
DC_06,CUST_MIA,440.0,1.672
DC_06,CUST_MSP,1105.0,4.199
DC_06,CUST_STL,683.5,2.597
DC_07,CUST_NYC,1627.4,6.184
DC_07,CUST_LAX,829.9,3.153
DC_07,CUST_CHI,918.2,3.489
DC_07,CUST_HOU,878.4,3.338
DC_07,CUST_PHX,585.5,2.225
DC_07,CUST_PHL,1574.8,5.984
DC_07,CUST_SAT,802.2,3.049
DC_07,CUST_SD,832.8,3.165
DC_07,CUST_DAL,662.6,2.518
DC_07,CUST_SJ,926.6,3.521
DC_07,CUST_AUS,771.7,2.932
DC_07,CUST_JAX,1465.4,5.569
DC_07,CUST_COL,1163.7,4.422
DC_07,CUST_CLT,1355.7,5.152
DC_07,CUST_SF,947.3,3.6
DC_07,CUST_IND,998.5,3.794
DC_07,CUST_SEA,1019.5,3.874
DC_07,CUST_DEN,0.0,0.0
DC_07,CUST_BOS,1765.5,6.709
DC_07,CUST_ATL,1210.0,4.598
DC_07,CUST_DET,1154.3,4.386
DC_07,CUST_MIA,1725.3,6.556
DC_07,CUST_MSP,698.5,2.654
DC_07,CUST_STL,795.0,3.021
DC_08,CUST_NYC,2439.3,9.269
DC_08,CUST_LAX,825.9,3.139
DC_08,CUST_CHI,1754.6,6.667
DC_08,CUST_HOU,1833.6,6.968
DC_08,CUST_PHX,1005.5,3.821
DC_08,CUST_PHL,2405.9,9.142
DC_08,CUST_SAT,1718.5,6.53
DC_08,CUST_SD,931.9,3.541
DC_08,CUST_DAL,1631.3,6.199
DC_08,CUST_SJ,566.5,2.153
DC_08,CUST_AUS,1707.8,6.49
DC_08,CUST_JAX,2436.0,9.257
DC_08,CUST_COL,2028.5,7.708
DC_08,CUST_CLT,2285.0,8.683
DC_08,CUST_SF,535.0,2.033
DC_08,CUST_IND,1881.1,7.148
DC_08,CUST_SEA,145.4,0.553
DC_08,CUST_DEN,981.1,3.728
DC_08,CUST_BOS,2533.0,9.626
DC_08,CUST_ATL,2168.8,8.241
DC_08,CUST_DET,1964.4,7.465
DC_08,CUST_MIA,2705.3,10.28
DC_08,CUST_MSP,1423.3,5.409
DC_08,CUST_STL,1719.4,6.534
