plant_id,dc_id,distance_miles,unit_transport_cost
PLANT_MW,DC_01,804.7,1.69
PLANT_MW,DC_02,275.6,0.579
PLANT_MW,DC_03,1711.8,3.595
PLANT_MW,DC_04,570.0,1.197
PLANT_MW,DC_05,412.4,0.866
PLANT_MW,DC_06,766.5,1.61
PLANT_MW,DC_07,918.2,1.928
PLANT_MW,DC_08,1754.6,3.685
PLANT_SE,DC_01,719.6,1.511
PLANT_SE,DC_02,436.0,0.916
PLANT_SE,DC_03,1899.1,3.988
PLANT_SE,DC_04,611.5,1.284
PLANT_SE,DC_05,675.8,1.419
PLANT_SE,DC_06,223.3,0.469
PLANT_SE,DC_07,1210.0,2.541
PLANT_SE,DC_08,2168.8,4.554
PLANT_W,DC_01,1361.6,2.859
PLANT_W,DC_02,1942.0,4.078
PLANT_W,DC_03,396.2,0.832
PLANT_W,DC_04,2253.3,4.732
PLANT_W,DC_05,1344.9,2.824
PLANT_W,DC_06,2212.1,4.645
PLANT_W,DC_07,788.0,1.655
PLANT_W,DC_08,438.5,0.921
